Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,103213,1,OK,0.7524350,0.0713582,-0.6519046,0.0613998,-170.969,174.124,-1412.153,0.3527347,4,OK,-170.730,174.221,-1412.445,OK,-219.480,164.830,-1404.725,OK,-272.881,179.736,-1397.572,OK,-297.881,124.290,-1394.009
1,Port 2: NDI 8700340  s/n:34802401,103216,1,OK,0.7517799,0.0721301,-0.6527234,0.0598038,-171.104,174.181,-1413.270,0.3471933,4,OK,-170.862,174.274,-1413.554,OK,-219.647,164.941,-1405.972,OK,-273.027,179.887,-1398.848,OK,-298.120,124.464,-1395.518
1,Port 2: NDI 8700340  s/n:34802401,103219,1,OK,0.7507922,0.0717369,-0.6538161,0.0607402,-170.776,174.216,-1413.893,0.3410010,4,OK,-170.545,174.309,-1414.175,OK,-219.327,164.937,-1406.736,OK,-272.750,179.868,-1399.797,OK,-297.798,124.416,-1396.461
1,Port 2: NDI 8700340  s/n:34802401,103222,1,OK,0.7511897,0.0720357,-0.6532066,0.0620166,-169.743,174.483,-1414.219,0.3428200,4,OK,-169.520,174.582,-1414.500,OK,-218.260,165.096,-1406.985,OK,-271.708,179.901,-1399.999,OK,-296.628,124.420,-1396.555
1,Port 2: NDI 8700340  s/n:34802401,103225,1,OK,0.7521386,0.0713974,-0.6521361,0.0625171,-168.987,174.955,-1414.555,0.3409396,4,OK,-168.749,175.054,-1414.836,OK,-217.494,165.578,-1407.178,OK,-270.922,180.410,-1400.068,OK,-295.820,124.930,-1396.455
1,Port 2: NDI 8700340  s/n:34802401,103228,1,OK,0.7518680,0.0732156,-0.6522614,0.0623622,-169.341,175.463,-1415.064,0.3328189,4,OK,-169.118,175.560,-1415.333,OK,-217.820,165.966,-1407.745,OK,-271.286,180.651,-1400.589,OK,-296.074,125.111,-1397.147
1,Port 2: NDI 8700340  s/n:34802401,103231,1,OK,0.7503612,0.0722871,-0.6540427,0.0629345,-170.757,176.087,-1415.260,0.3501070,4,OK,-170.534,176.181,-1415.552,OK,-219.278,166.626,-1408.119,OK,-272.768,181.344,-1401.296,OK,-297.594,125.819,-1397.881
1,Port 2: NDI 8700340  s/n:34802401,103234,1,OK,0.7497640,0.0729690,-0.6546718,0.0627244,-171.769,176.585,-1415.348,0.3412659,4,OK,-171.528,176.686,-1415.625,OK,-220.305,167.080,-1408.327,OK,-273.808,181.764,-1401.534,OK,-298.609,126.220,-1398.240
1,Port 2: NDI 8700340  s/n:34802401,103237,1,OK,0.7506487,0.0734440,-0.6536915,0.0618059,-172.194,176.649,-1415.596,0.3380988,4,OK,-171.942,176.744,-1415.866,OK,-220.720,167.179,-1408.468,OK,-274.194,181.882,-1401.482,OK,-299.029,126.336,-1398.209
1,Port 2: NDI 8700340  s/n:34802401,103240,1,OK,0.7503232,0.0752245,-0.6539865,0.0604825,-173.227,176.439,-1415.928,0.3309006,4,OK,-172.996,176.540,-1416.190,OK,-221.736,166.916,-1408.875,OK,-275.227,181.575,-1401.836,OK,-300.056,126.008,-1398.823
