Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96964,1,Partially Out of Volume,0.7776307,0.0418528,-0.6025902,0.1744244,-189.937,16.373,-1175.834,0.3310916,4,OK,-189.75,16.461,-1176.137,OK,-235.943,2.751,-1161.963,Used OOV,-290.245,12.016,-1152.473,Used OOV,-306.746,-44.196,-1135.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96967,1,Partially Out of Volume,0.7941709,0.0503073,-0.5804474,0.1727503,-176.499,-5.21,-1158.914,0.3329165,4,OK,-176.298,-5.13,-1159.234,OK,-221.597,-19.082,-1142.505,OK,-275.309,-10.065,-1129.857,Used OOV,-290.594,-66.492,-1112.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96970,1,Partially Out of Volume,0.8168748,0.0711538,-0.5571785,0.1311675,-161.979,-24.243,-1144.15,0.3783017,4,OK,-161.77,-24.139,-1144.538,OK,-206.383,-37.259,-1125.266,OK,-258.559,-26.771,-1108.055,Used OOV,-275.316,-83.592,-1093.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96973,1,OK,0.8312269,0.0822367,-0.5412425,0.0967239,-147.545,-41.81,-1133.371,0.3949822,4,OK,-147.356,-41.704,-1133.79,OK,-191.535,-53.811,-1112.862,OK,-242.287,-41.93,-1092.573,OK,-260.907,-98.6,-1080.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96976,1,OK,0.8383407,0.0840669,-0.531331,0.0883455,-132.354,-58.903,-1127.176,0.389168,4,OK,-132.153,-58.794,-1127.589,OK,-175.939,-70.575,-1105.673,OK,-226.016,-58.31,-1083.922,OK,-244.973,-114.863,-1071.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96979,1,OK,0.844724,0.0876573,-0.5201893,0.0903364,-117.376,-76.655,-1123.055,0.3566576,4,OK,-117.137,-76.558,-1123.442,OK,-160.345,-88.679,-1100.521,OK,-209.919,-76.814,-1077.371,OK,-228.057,-133.562,-1064.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96982,1,OK,0.8521666,0.1040815,-0.5078459,0.071215,-103.466,-94.477,-1121.193,0.3932896,4,OK,-103.241,-94.357,-1121.636,OK,-145.802,-106.93,-1097.619,OK,-194.377,-95.378,-1072.343,OK,-212.899,-152.415,-1061.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96985,1,OK,0.8579897,0.1114251,-0.4966171,0.0693516,-90.793,-109.782,-1121.525,0.3953864,4,OK,-90.568,-109.657,-1121.978,OK,-132.439,-122.754,-1096.976,OK,-180.364,-111.782,-1070.304,OK,-198.269,-169.059,-1059.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96988,1,OK,0.8548205,0.1111327,-0.5012719,0.0752199,-81.073,-121.519,-1126.21,0.3933961,4,OK,-80.858,-121.395,-1126.656,OK,-122.886,-134.753,-1102.121,OK,-171.257,-124.098,-1076.101,OK,-188.769,-181.471,-1065.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,96991,1,OK,0.8515707,0.1172962,-0.5085947,0.0489931,-71.91,-128.459,-1132.308,0.378127,4,OK,-71.695,-128.32,-1132.726,OK,-114.456,-140.939,-1109.121,OK,-162.599,-129.374,-1083.083,OK,-182.483,-186.343,-1074.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
